cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
64,62,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
65,63,,,,,1500.0,USD,1400.0,USD,,,,,1200.0,USD,1100.0,USD,2025-03-22T00:00:00.000Z
66,64,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
67,65,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
68,66,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
69,67,300000000.0,USD,,,,,850.0,USD,,,,,,,700.0,USD,2025-03-22T00:00:00.000Z
70,68,,,1345.0,USD,1300.0,USD,1390.0,USD,,,,,1150.0,USD,1100.0,USD,2025-03-22T00:00:00.000Z
71,69,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
72,70,,,,,,,1400.0,USD,,,,,,,900.0,USD,2025-03-22T00:00:00.000Z
73,71,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
74,72,,,,,,,,,,,,,2.5,USD,3.0,USD,2025-03-22T00:00:00.000Z
75,73,,,,,,,1200.0,USD,,,,,,,,,2025-03-22T00:00:00.000Z
76,74,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
77,75,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
78,76,,,,,,,,,,,,,2.0,USD,3.0,USD,2025-03-22T00:00:00.000Z
79,77,,,,,,,,,,,,,3.0,USD,4.0,USD,2025-03-22T00:00:00.000Z
80,78,,,,,,,1200.0,USD,,,,,2.0,USD,3.0,USD,2025-03-22T00:00:00.000Z
81,79,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
82,80,,,,,,,1500.0,USD,,,,,1.8,USD,2.5,USD,2025-03-22T00:00:00.000Z
83,81,,,1296.0,USD,1148.0,USD,1125.0,USD,1400.0,USD,1300.0,USD,50.0,USD,45.0,USD,2025-03-22T00:00:00.000Z
84,82,,,,,,,1200.0,USD,,,,,0.3,USD,0.5,USD,2025-03-22T00:00:00.000Z
85,83,,,1220.0,USD,1200.0,USD,1250.0,USD,1320.0,USD,1300.0,USD,1200.0,USD,1200.0,USD,2025-03-22T00:00:00.000Z
86,84,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
87,85,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
88,86,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
89,87,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
90,88,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
91,89,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
92,90,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
93,91,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
94,92,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
95,93,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
96,94,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
97,95,,,,,,,,,,,,,2.5,USD,3.5,USD,2025-03-22T00:00:00.000Z
98,96,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
99,97,,,,,1300.0,USD,1300.0,USD,,,,,,,,,2025-03-22T00:00:00.000Z
100,98,,,,,,,,,,,,,,,,,2025-03-23T00:33:00.000Z
101,99,,,,,,,1200.0,USD,,,,,,,,,2025-03-22T15:48:00.000Z
102,100,,,1423.0,USD,1583.0,USD,1550.0,USD,,,,,1336.0,USD,1350.0,USD,2025-03-22T16:00:00.000Z
103,101,,,,,,,,,,,,,,,,,2025-03-22T23:10:00.000Z
104,102,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
105,103,,,,,,,,,,,,,,,,,2025-03-23T00:40:00.000Z
106,104,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
107,105,,,,,,,,,,,,,,,,,2025-03-23T00:36:00.000Z
